,Test,actual,predict
240,Tomarrow final hearing on my laptop case so i cant.,ham,ham
2805,Can a not?,ham,ham
4418,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_,ham,spam
3886,Cab is available.they pick up and drop at door steps.,ham,ham
2110,Do we have any spare power supplies,ham,ham
5174,Water logging in desert. Geoenvironmental implications.,ham,ham
5507,I want to be inside you every night...,ham,ham
5114,Argh why the fuck is nobody in town ;_;,ham,ham
1370,Hope you are feeling great. Pls fill me in. Abiola,ham,ham
2059,He didn't see his shadow. We get an early spring yay,ham,ham
3655,Oh really?? Did you make it on air? What's your talent?,ham,ham
3247,Also track down any lighters you can find,ham,ham
1942,K...k:)why cant you come here and search job:),ham,ham
2877,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam,spam
4588,Have you not finished work yet or something?,ham,spam
1934,Hope you are having a great day.,ham,ham
5142,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,ham,ham
3873,No. Did you multimedia message them or e-mail?,ham,ham
4652,Lol yes. But it will add some spice to your day.,ham,ham
1694,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,ham,ham
794,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,ham,ham
1361,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,ham,ham
1666,Guess who spent all last night phasing in and out of the fourth dimension,ham,ham
4853,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",ham,ham
1392,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",ham,ham
208,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham,ham
3077,Okay but i thought you were the expert,ham,ham
1703,Just taste fish curry :-P,ham,ham
2822,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,ham,ham
248,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham,ham
1580,"I shall book chez jules for half eight, if that's ok with you?",ham,ham
598,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,ham,ham
4524,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,ham,ham
3539,"I'll get there at 3, unless you guys want me to come some time sooner",ham,ham
2236,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,ham,spam
5086,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,ham,ham
2985,Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,ham
1212,"Yo, the game almost over? Want to go to walmart soon",ham,ham
712,08714712388 between 10am-7pm Cost 10p,spam,ham
1086,I don't think he has spatula hands!,ham,ham
453,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham,ham
3728,I'm at home. Please call,ham,ham
889,Wife.how she knew the time of murder exactly,ham,ham
1937,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,ham,ham
102,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,ham
4922,Oh yah... We never cancel leh... Haha ,ham,ham
1231,have got * few things to do. may be in * pub later.,ham,ham
4333,Boo what time u get out? U were supposed to take me shopping today. :(,ham,ham
2550,Please sen :)my kind advice :-)please come here and try:-),ham,spam
3311,I know you are serving. I mean what are you doing now.,ham,ham
107,How would my ip address test that considering my computer isn't a minecraft server,ham,ham
3414,He remains a bro amongst bros,ham,ham
29,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,ham
3945,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,ham,spam
4490,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",ham,ham
4818,Got smaller capacity one? Quite ex...,ham,ham
1400,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",ham,ham
239,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,ham
5270,Did u fix the teeth?if not do it asap.ok take care.,ham,ham
2329,Am surfing online store. For offers do you want to buy any thing.,ham,ham
2471,"sry can't talk on phone, with parents",ham,spam
3181,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,ham
2284,"Velly good, yes please!",ham,ham
5506,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,ham,ham
737,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,spam
4228,Have you bookedthe hut? And also your time off? How are you by the way?,ham,ham
2721,I'm working technical support :)voice process.,ham,ham
4410,Ya but it cant display internal subs so i gotta extract them,ham,ham
2495,WINNER! As a valued network customer you hvae been selected to receive a å£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,spam,ham
3562,"Auction round 4. The highest bid is now å£54. Next maximum bid is å£71. To bid, send BIDS e. g. 10 (to bid å£10) to 83383. Good luck.",spam,ham
465,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),ham,ham
1268,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,spam,spam
2440,"Great. I'm in church now, will holla when i get out",ham,ham
1297,"K so am I, how much for an 8th? Fifty?",ham,ham
199,"Found it, ENC  &lt;#&gt; , where you at?",ham,ham
4368,Anytime lor...,ham,ham
1564,Tmrw. Im finishing 9 doors,ham,ham
4274,Haiyoh... Maybe your hamster was jealous of million,ham,ham
5072,Gud ni8 dear..slp well..take care..swt dreams..Muah..,ham,ham
5076,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",ham,ham
3722,We left already we at orchard now.,ham,ham
2727,Whatsup there. Dont u want to sleep,ham,ham
2313,So what do you guys do.,ham,ham
3113,Yes watching footie but worried we're going to blow it - Phil Neville?,ham,ham
3816,This is my number by vivek..,ham,ham
2997,No b4 Thursday,ham,ham
3195,"I av a new number,  . Wil u only use this one,ta.",ham,ham
3542,I'm e person who's doing e sms survey...,ham,ham
1224,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam,spam
4435,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham,ham
2252,Den wat will e schedule b lk on sun?,ham,ham
5198,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,ham,spam
5207,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",ham,ham
3994,R u in this continent?,ham,ham
4876,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,ham,ham
3384,Ok can...,ham,ham
3603,Hey morning what you come to ask:-) pa...,ham,ham
4013,"Sorry, I can't text &amp; drive coherently, see you in twenty",ham,ham
2277,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,ham,ham
4357,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",spam,spam
763,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham,ham
1760,Nt yet chikku..simple habba..hw abt u?,ham,ham
1520,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam,ham
4280,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",ham,ham
293,Are you this much buzy,ham,ham
371,I will spoil you in bed as well :),ham,ham
5227,I re-met alex nichols from middle school and it turns out he's dealing!,ham,ham
2759,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",ham,ham
1057,Ard 515 like dat. Y?,ham,ham
977,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,ham,ham
879,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,spam,ham
1038,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",ham,ham
626,How many licks does it take to get to the center of a tootsie pop?,ham,ham
157,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,ham
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",spam,ham
4161,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,ham,ham
245,Too late. I said i have the website. I didn't i have or dont have the slippers,ham,ham
996,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,ham,spam
367,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam,ham
2232,Nothing just getting msgs by dis name wit different no's..,ham,ham
3678,Stupid.its not possible,ham,ham
3469,aathi..where are you dear..,ham,ham
730,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam,ham
5193,"It's wylie, you in tampa or sarasota?",ham,ham
2842,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",ham,ham
3897,Otherwise had part time job na-tuition..,ham,ham
1786,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham,ham
1561,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,ham,ham
3725,No chikku nt yet.. Ya i'm free,ham,spam
599,I'm going out to buy mum's present ar.,ham,ham
3958,Have a nice day my dear.,ham,ham
5026,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,spam,ham
5038,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,ham,spam
5307,What you did in  leave.,ham,ham
681,ÌÏ log off 4 wat. It's sdryb8i,ham,ham
1126,Not tonight mate. Catching up on some sleep. This is my new number by the way. ,ham,ham
1835,* Will be september by then!,ham,ham
2052,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",spam,ham
2330,Long beach lor. Expected... U having dinner now?,ham,ham
1941,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam,ham
151,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,ham
2673,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",ham,ham
1539,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,ham,ham
5182,I sent them. Do you like?,ham,ham
4047,Lol or I could just starve and lose a pound by the end of the day.,ham,ham
447,I wont get concentration dear you know you are my mind and everything :-),ham,ham
3405,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",ham,ham
5167,Oh did you charge camera,ham,ham
3793,Short But Cute: \Be a good person,ham,ham
810,S:)s.nervous  &lt;#&gt; :),ham,ham
3662,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear..""",ham,ham
2531,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,ham,ham
4152,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam,ham
1620,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",ham,spam
1471,Oh. U must have taken your REAL Valentine out shopping first.,ham,ham
576,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",ham,spam
2447,Tmr then Ì_ brin lar... Aiya later i come n c lar... Mayb Ì_ neva set properly Ì_ got da help sheet wif Ì_...,ham,ham
711,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham,ham
829,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,ham,ham
5434,Jesus armand really is trying to tell everybody he can find,ham,ham
625,"Haha good to hear, I'm officially paid and on the market for an 8th",ham,ham
5350,No one interested. May be some business plan.,ham,ham
1630,I am going to film 2day da. At 6pm. Sorry da.,ham,ham
3164,Cheers for the card ... Is it that time of year already?,ham,ham
4874,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",ham,ham
410,Come by our room at some point so we can iron out the plan for this weekend,ham,spam
491,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam,ham
5262,Did you see that film:),ham,ham
4879,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,ham,ham
5480,Have you seen who's back at Holby?!,ham,ham
4665,Not..tel software name..,ham,ham
471,"How long has it been since you screamed, princess?",ham,ham
1732,"K, can that happen tonight?",ham,ham
3912,Yeah whatever lol,ham,ham
2118,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",spam,spam
3362,Can... I'm free...,ham,spam
1720,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham,spam
2080,Where is it. Is there any opening for mca.,ham,ham
3593,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,spam,spam
425,Ok. She'll be ok. I guess,ham,ham
4908,Will do. Have a good day,ham,ham
2195,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy \VALENTINES DAY\"" in advance""",ham,ham
1877,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,ham,ham
2760,I dont thnk its a wrong calling between us,ham,ham
1957,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,ham,ham
1665,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,ham,ham
2732,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,ham,ham
251,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,ham
5530,I think that tantrum's finished so yeah I'll be by at some point,ham,ham
3592,"Sorry, I'll call later",ham,ham
3892,Have you heard from this week?,ham,spam
3946,"Sorry, went to bed early, nightnight",ham,ham
227,Hey company elama po mudyadhu.,ham,ham
4586,"I'll see if I can swing by in a bit, got some things to take care of here firsg",ham,ham
3207,Oops my phone died and I didn't even know. Yeah I like it better.,ham,ham
1684,Do you want bold 2 or bb torch,ham,ham
2662,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",spam,ham
605,TaKe CaRE n gET WeLL sOOn,ham,ham
926,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,ham,ham
624,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",ham,ham
2083,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",ham,ham
4271,Where to get those?,ham,ham
3288,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,spam,ham
292,Oops. 4 got that bit.,ham,ham
3885,"Same, I'm at my great aunts anniversary party in tarpon springs",ham,ham
3846,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam,ham
4537,Dare i ask... Any luck with sorting out the car?,ham,ham
4074,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",ham,ham
1491,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam,spam
555,O. Well uv causes mutations. Sunscreen is like essential thesedays,ham,ham
1095,Ryder unsold.now gibbs.,ham,ham
1255,Just wait till end of march when el nino gets himself. Oh.,ham,ham
5171,Oh k. . I will come tomorrow,ham,spam
5526,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,spam,ham
3256,"No, but you told me you were going, before you got drunk!",ham,ham
611,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,ham,ham
994,"I can't, I don't have her number!",ham,ham
2053,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",ham,ham
1888,No. On the way home. So if not for the long dry spell the season would have been over,ham,ham
907,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,ham,ham
705,"I don't think I can get away for a trek that long with family in town, sorry",ham,ham
1813,Yes we are chatting too.,ham,ham
2387,Also where's the piece,ham,ham
655,Tell them the drug dealer's getting impatient,ham,ham
3755,Yes:)here tv is always available in work place..,ham,spam
3014, &lt;#&gt;  mins but i had to stop somewhere first.,ham,ham
505,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,ham,ham
3586,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,ham,ham
4686,Eatin my lunch...,ham,ham
4046,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",spam,ham
2836,1's reach home call me.,ham,ham
4913,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,ham,ham
3130,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",spam,ham
106,"Aight, I'll hit you up when I get some cash",ham,spam
4697,Don no da:)whats you plan?,ham,ham
856,Going to take your babe out ?,ham,ham
3454,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,ham,spam
2095,"Probably, want to pick up more?",ham,ham
800,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",spam,spam
5181,K sure am in my relatives home. Sms me de. Pls:-),ham,ham
4239,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",ham,ham
4417,"When you get free, call me",ham,spam
1545,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",ham,ham
1046,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",ham,ham
3948,HMM yeah if your not too grooved out! And im looking forward to my pound special :),ham,ham
1323,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?,ham,ham
4661,Ladies first and genus second k .,ham,ham
416,Alright i have a new goal now,ham,ham
1606,Ok no prob... I'll come after lunch then...,ham,ham
4339,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,ham,ham
4574,Not directly behind... Abt 4 rows behind Ì_...,ham,ham
478,"K, can I pick up another 8th when you're done?",ham,ham
2369,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",ham,ham
179,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,ham
4806,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,spam,spam
4644,Are you planning to come chennai?,ham,spam
5565,Huh y lei...,ham,ham
5317,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",ham,spam
1117,"449050000301 You have won a å£2,000 price! To claim, call 09050000301.",spam,ham
2954,Id have to check but there's only like 1 bowls worth left,ham,ham
903,Lovely smell on this bus and it ain't tobacco... ,ham,ham
4110,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,spam,ham
497,Some of them told accenture is not confirm. Is it true.,ham,ham
724,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",ham,ham
2534,Ok enjoy . R u there in home.,ham,ham
776,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,ham,ham
3576,Yeah confirmed for you staying at  that weekend,ham,ham
1566,I am late. I will be there at,ham,ham
472,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",ham,ham
3612,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,ham,ham
3194,Great. P diddy is my neighbor and comes for toothpaste every morning,ham,ham
4861,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,spam,spam
3321,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,ham,ham
473,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,spam,ham
3822,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",ham,ham
1862,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",ham,ham
1614,Me sef dey laugh you. Meanwhile how's my darling anjie!,ham,ham
1197,He also knows about lunch menu only da. . I know,ham,ham
4494,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,ham,ham
3438,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah",ham,ham
272,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam,ham
4900,Taka lor. Wat time u wan 2 come n look 4 us?,ham,ham
336,Cool. So how come you havent been wined and dined before?,ham,spam
4147,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,spam,spam
748,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,ham,ham
1073,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,ham,ham
2417,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,ham,ham
2233,Good Morning plz call me sir,ham,ham
4340,ÌÏ all write or wat..,ham,ham
5274,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",ham,ham
486,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",spam,spam
2670,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,ham,ham
286,Ok..,ham,ham
4585,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",spam,ham
3017,I didn't get the second half of that message,ham,ham
5111,I've reached sch already...,ham,ham
254,"I'm back, lemme know when you're ready",ham,ham
3361,No messages on her phone. I'm holding it now,ham,spam
4321,Sorry . I will be able to get to you. See you in the morning.,ham,ham
1188,All will come alive.better correct any good looking figure there itself..,ham,ham
3000,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam,spam
2749,You said not now. No problem. When you can. Let me know.,ham,ham
4881,As usual u can call me ard 10 smth.,ham,ham
5103,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,ham,spam
4732,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,ham,ham
3276,Its a great day. Do have yourself a beautiful one.,ham,ham
2167,Yes.he have good crickiting mind,ham,ham
2571,Û_ and donÛ÷t worry weÛ÷ll have finished by march Û_ ish!,ham,ham
1235,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham,ham
3360,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,ham,ham
3790,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",spam,ham
3402,Good night my dear.. Sleepwell&amp;Take care,ham,ham
1448,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,spam,ham
3106,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,ham,ham
4904,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,spam,ham
2803,Lil fever:) now fine:),ham,ham
3450,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,ham,ham
1839,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,ham,spam
1611,645,ham,ham
4288,"Okay, good, no problem, and thanx!",ham,ham
1242,Nobody can decide where to eat and dad wants Chinese,ham,ham
4077,Gam gone after outstanding innings.,ham,ham
3520,Hey... are you going to quit soon? Xuhui and i working till end of the month ,ham,ham
3013,I might go 2 sch. Yar at e salon now v boring.,ham,ham
1569,I dont have that much image in class.,ham,ham
765,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,spam,spam
